median_salary,population_size,number_of_jobs,area_size,mean_salary
33020.0,6581.0,,,48922.0
21480.0,162444.0,,,23620.0
19568.0,313469.0,,,23128.0
18621.0,217458.0,,,21386.0
18532.0,260317.0,,,20911.0
16720.0,294902.0,,,21293.0
23677.0,190003.0,,,30249.0
19563.0,332066.0,,,22205.0
20580.0,302252.0,,,25046.0
19289.0,272731.0,,,21006.0
21236.0,212168.0,,,22263.0
23249.0,199087.0,,,39629.0
25000.0,160634.0,,,28555.0
18783.0,218559.0,,,21683.0
20596.0,207909.0,,,22824.0
17165.0,225712.0,,,18786.0
24002.0,245053.0,,,28854.0
20155.0,214298.0,,,24602.0
25113.0,175717.0,,,34180.0
20646.0,147678.0,,,28074.0
19302.0,146003.0,,,22967.0
23151.0,266817.0,,,27930.0
20580.0,250310.0,,,23283.0
18962.0,185062.0,,,21867.0
18862.0,240517.0,,,20580.0
19580.0,238138.0,,,22087.0
22321.0,172782.0,,,25832.0
22784.0,247853.0,,,26994.0
19582.0,179375.0,,,22725.0
26376.0,193507.0,,,37524.0
18547.0,221057.0,,,19888.0
21321.0,264220.0,,,24707.0
24447.0,189233.0,,,36167.0
22487.0,7153912.0,,,29640.0
17939.0,49032872.0,,,21561.0
17803.0,58684427.0,,,21314.0
34903.0,7014.0,361000.0,,52203.0
22618.0,163893.0,57000.0,,24696.0
21761.0,315784.0,138000.0,,25755.0
19363.0,218717.0,76000.0,,22580.0
22348.0,264945.0,122000.0,,23726.0
16401.0,295317.0,115000.0,,21178.0
25484.0,196174.0,291000.0,,34864.0
21339.0,334241.0,160000.0,,23440.0
22512.0,304370.0,134000.0,,26615.0
22467.0,275068.0,113000.0,,25198.0
22121.0,214438.0,84000.0,,23689.0
25264.0,164393.0,120000.0,,28742.0
22238.0,209114.0,81000.0,,24973.0
17418.0,225141.0,89000.0,,19309.0
25038.0,245911.0,177000.0,,29755.0
23230.0,214731.0,146000.0,,27632.0
26598.0,177852.0,173000.0,,35135.0
22952.0,154661.0,147000.0,,28782.0
20983.0,147328.0,85000.0,,25225.0
24264.0,270028.0,140000.0,,28750.0
22357.0,252106.0,76000.0,,22659.0
18906.0,188196.0,84000.0,,22987.0
19437.0,245463.0,79000.0,,21609.0
20256.0,239868.0,83000.0,,22421.0
22574.0,172920.0,82000.0,,27702.0
24857.0,252726.0,182000.0,,29101.0
22019.0,180485.0,78000.0,,26891.0
28445.0,197133.0,152000.0,,47253.0
19776.0,221296.0,74000.0,,22009.0
22840.0,267695.0,127000.0,,26862.0
25951.0,196478.0,616000.0,,40903.0
24204.0,7236712.0,4618000.0,,33000.0
19107.0,49233311.0,25210000.0,,23319.0
18848.0,58886065.0,29735000.0,,22801.0
39104.0,7359.0,339000.0,315.0,62819.0
22323.0,165654.0,54000.0,3780.0,26050.0
20916.0,319481.0,138000.0,8675.0,26068.0
20217.0,218757.0,75000.0,6429.0,23559.0
21878.0,269620.0,116000.0,4323.0,24164.0
15684.0,296218.0,114000.0,15013.0,19749.0
27386.0,202567.0,294000.0,2179.0,40033.0
20889.0,335112.0,156000.0,8650.0,23994.0
23862.0,307276.0,134000.0,5554.0,29516.0
24136.0,277266.0,111000.0,8220.0,27605.0
20761.0,217460.0,71000.0,5044.0,23932.0
26319.0,169374.0,123000.0,1715.0,30968.0
20349.0,221251.0,75000.0,2960.0,21748.0
22960.0,210044.0,80000.0,5046.0,26650.0
17940.0,224717.0,88000.0,11446.0,20002.0
26051.0,245616.0,185000.0,11570.0,30465.0
22853.0,215976.0,150000.0,5659.0,28795.0
28323.0,179387.0,168000.0,1486.0,44989.0
24979.0,162199.0,149000.0,1238.0,32475.0
21427.0,149045.0,82000.0,3726.0,27219.0
24019.0,273372.0,130000.0,2725.0,30242.0
21990.0,254336.0,75000.0,3532.0,24850.0
21014.0,191106.0,81000.0,3762.0,25615.0
21054.0,249411.0,79000.0,3857.0,27763.0
21106.0,241893.0,82000.0,5644.0,24321.0
23799.0,174311.0,85000.0,5876.0,29854.0
27114.0,256712.0,190000.0,2991.0,29423.0
22972.0,181461.0,77000.0,4385.0,25235.0
31232.0,201090.0,167000.0,2158.0,55045.0
21245.0,222015.0,69000.0,3881.0,23023.0
22054.0,271742.0,124000.0,3522.0,25861.0
26829.0,203329.0,612000.0,2203.0,41566.0
25215.0,7322403.0,4580000.0,159471.0,35140.0
19997.0,49449746.0,25430000.0,13303728.0,24505.0
19722.0,59113497.0,30056000.0,,23925.0
39750.0,7280.0,344000.0,315.0,56450.0
24813.0,166357.0,52000.0,3780.0,26653.0
23112.0,320552.0,135000.0,8675.0,30210.0
21101.0,219123.0,79000.0,6429.0,23517.0
21350.0,269871.0,116000.0,4323.0,24071.0
16635.0,296668.0,119000.0,15013.0,21513.0
27432.0,203972.0,287000.0,2179.0,34486.0
22675.0,335415.0,149000.0,8650.0,25815.0
24542.0,309242.0,133000.0,5554.0,29470.0
24654.0,280745.0,104000.0,8220.0,26835.0
21846.0,221476.0,73000.0,5044.0,23853.0
24582.0,210961.0,108000.0,1905.0,32321.0
28012.0,171989.0,119000.0,1715.0,37855.0
21972.0,224474.0,75000.0,2960.0,23632.0
23176.0,212336.0,80000.0,5046.0,26303.0
16123.0,225054.0,91000.0,11446.0,19520.0
26159.0,247063.0,182000.0,11570.0,30463.0
24399.0,216888.0,136000.0,5659.0,32582.0
33497.0,180118.0,169000.0,1486.0,54080.0
26649.0,163827.0,140000.0,1238.0,35481.0
22575.0,149642.0,79000.0,3726.0,29702.0
24952.0,273041.0,137000.0,2725.0,31630.0
23254.0,253662.0,79000.0,3532.0,25909.0
22429.0,190561.0,77000.0,3762.0,27052.0
21420.0,255282.0,74000.0,3857.0,24900.0
22133.0,244273.0,83000.0,5644.0,24512.0
23311.0,175441.0,80000.0,5876.0,30680.0
28062.0,256269.0,166000.0,2991.0,30906.0
23311.0,181265.0,73000.0,4385.0,25965.0
31168.0,207031.0,160000.0,2158.0,49998.0
21799.0,223776.0,70000.0,3881.0,23817.0
23720.0,274917.0,127000.0,3522.0,27665.0
28879.0,208100.0,598000.0,2203.0,43576.0
26467.0,7376671.0,4491000.0,159471.0,35739.0
20706.0,49679267.0,25628000.0,13303728.0,25542.0
20376.0,59365677.0,30266000.0,,24911.0
41795.0,7115.0,344000.0,315.0,64272.0
25358.0,166210.0,55000.0,3780.0,27792.0
23828.0,321802.0,138000.0,8675.0,30518.0
22247.0,220016.0,77000.0,6429.0,24723.0
23018.0,268323.0,119000.0,4323.0,29790.0
19042.0,297253.0,125000.0,15013.0,25474.0
30002.0,204254.0,279000.0,2179.0,38106.0
22838.0,335919.0,153000.0,8650.0,26920.0
24349.0,308108.0,137000.0,5554.0,30117.0
22463.0,281835.0,111000.0,8220.0,25595.0
23600.0,224303.0,76000.0,5044.0,26002.0
25149.0,212405.0,98000.0,1905.0,31035.0
29831.0,171510.0,125000.0,1715.0,35226.0
22422.0,225027.0,78000.0,2960.0,24551.0
22796.0,213728.0,83000.0,5046.0,27980.0
18250.0,225248.0,92000.0,11446.0,21167.0
26774.0,248054.0,182000.0,11570.0,30875.0
26019.0,216498.0,135000.0,5659.0,33322.0
33579.0,180899.0,177000.0,1486.0,49632.0
26213.0,165268.0,133000.0,1238.0,35812.0
23813.0,149683.0,79000.0,3726.0,32569.0
26034.0,272195.0,140000.0,2725.0,32702.0
22069.0,251936.0,80000.0,3532.0,25320.0
22959.0,189298.0,77000.0,3762.0,30607.0
22792.0,256224.0,77000.0,3857.0,26461.0
23407.0,247412.0,84000.0,5644.0,26086.0
25549.0,177182.0,84000.0,5876.0,29463.0
29307.0,255242.0,178000.0,2991.0,32241.0
24455.0,181267.0,72000.0,4385.0,27147.0
34281.0,208651.0,164000.0,2158.0,55530.0
22918.0,224115.0,70000.0,3881.0,25374.0
24299.0,276828.0,127000.0,3522.0,29446.0
29254.0,211009.0,605000.0,2203.0,43694.0
27455.0,7394817.0,4554000.0,159471.0,37416.0
21500.0,49925517.0,25838000.0,13303728.0,26462.0
21124.0,59636662.0,30548000.0,,25818.0
43347.0,7118.0,332000.0,315.0,66628.0
26089.0,165610.0,53000.0,3780.0,29088.0
,323723.0,135000.0,8675.0,30795.0
20946.0,220917.0,85000.0,6429.0,24617.0
23323.0,268335.0,119000.0,4323.0,25416.0
21192.0,297307.0,126000.0,15013.0,27617.0
30510.0,207341.0,278000.0,2179.0,38595.0
24371.0,337134.0,153000.0,8650.0,28816.0
26722.0,310073.0,136000.0,5554.0,31153.0
27414.0,282217.0,110000.0,8220.0,31068.0
25387.0,227190.0,77000.0,5044.0,27369.0
26687.0,213581.0,96000.0,1905.0,31862.0
29830.0,172083.0,128000.0,1715.0,37273.0
23481.0,226472.0,78000.0,2960.0,26260.0
24750.0,216267.0,81000.0,5046.0,29745.0
18240.0,225769.0,92000.0,11446.0,21505.0
28003.0,248691.0,196000.0,11570.0,31685.0
27457.0,219440.0,130000.0,5659.0,34015.0
30410.0,180831.0,179000.0,1486.0,40812.0
26846.0,165752.0,131000.0,1238.0,37784.0
23708.0,151055.0,84000.0,3726.0,30786.0
27186.0,274262.0,142000.0,2725.0,37154.0
25238.0,252455.0,79000.0,3532.0,26340.0
23208.0,188908.0,91000.0,3762.0,30224.0
,254434.0,81000.0,3857.0,29224.0
,248774.0,85000.0,5644.0,27206.0
26770.0,179312.0,82000.0,5876.0,30582.0
29609.0,257257.0,195000.0,2991.0,34875.0
24514.0,181094.0,73000.0,4385.0,27747.0
39128.0,211154.0,192000.0,2158.0,66095.0
23857.0,225002.0,69000.0,3881.0,25435.0
26137.0,278615.0,127000.0,3522.0,30740.0
31482.0,214557.0,597000.0,2203.0,46350.0
28750.0,7432730.0,4613000.0,159471.0,39489.0
31339.0,2915912.0,,32796.0,46107.0
25000.0,4516818.0,,126676.0,29207.0
22418.0,50194600.0,26050000.0,13303728.0,27736.0
22056.0,59950364.0,30862000.0,,27027.0
45000.0,7131.0,343000.0,315.0,74004.0
26680.0,166275.0,53000.0,3780.0,28728.0
27033.0,327541.0,136000.0,8675.0,31652.0
23936.0,222391.0,80000.0,6429.0,28162.0
24209.0,270939.0,118000.0,4323.0,27371.0
24241.0,299421.0,125000.0,15013.0,29955.0
31358.0,211088.0,292000.0,2179.0,39826.0
24652.0,339052.0,150000.0,8650.0,28101.0
27235.0,312774.0,138000.0,5554.0,32106.0
24594.0,284779.0,116000.0,8220.0,27568.0
26330.0,230494.0,81000.0,5044.0,29105.0
28923.0,216512.0,95000.0,1905.0,35597.0
30787.0,173292.0,136000.0,1715.0,42492.0
24626.0,229271.0,84000.0,2960.0,26991.0
26162.0,221109.0,81000.0,5046.0,30339.0
24296.0,226990.0,89000.0,11446.0,27736.0
29351.0,251430.0,196000.0,11570.0,32725.0
29584.0,223776.0,139000.0,5659.0,35410.0
30499.0,183477.0,192000.0,1486.0,37231.0
26855.0,168375.0,134000.0,1238.0,33106.0
24937.0,152489.0,82000.0,3726.0,32985.0
28347.0,277620.0,141000.0,2725.0,36464.0
28022.0,254930.0,80000.0,3532.0,30443.0
25991.0,190583.0,85000.0,3762.0,30422.0
26331.0,253798.0,84000.0,3857.0,28450.0
26462.0,251560.0,84000.0,5644.0,30087.0
26809.0,181508.0,88000.0,5876.0,30298.0
29534.0,261811.0,201000.0,2991.0,36022.0
25714.0,182103.0,72000.0,4385.0,29187.0
39493.0,213382.0,198000.0,2158.0,71063.0
21931.0,226747.0,76000.0,3881.0,25800.0
26549.0,283229.0,124000.0,3522.0,31455.0
32519.0,223132.0,614000.0,2203.0,50430.0
29882.0,7519009.0,4706000.0,159471.0,41707.0
32230.0,2957048.0,,32796.0,48936.0
26176.0,4561961.0,,126676.0,30404.0
23280.0,50606034.0,26478000.0,13303728.0,28928.0
22888.0,60413276.0,31377000.0,,28191.0
46292.0,7254.0,337000.0,315.0,85886.0
26549.0,167157.0,51000.0,3780.0,28660.0
26071.0,330801.0,138000.0,8675.0,30923.0
24719.0,223280.0,73000.0,6429.0,28847.0
25279.0,276504.0,110000.0,4323.0,29712.0
32418.0,211032.0,280000.0,2179.0,40593.0
26049.0,340449.0,148000.0,8650.0,29842.0
26354.0,315329.0,136000.0,5554.0,32130.0
25088.0,287429.0,106000.0,8220.0,28912.0
27363.0,233990.0,81000.0,5044.0,29714.0
30105.0,220193.0,88000.0,1905.0,34874.0
30464.0,174675.0,133000.0,1715.0,42838.0
27020.0,233174.0,82000.0,2960.0,29726.0
25575.0,223632.0,83000.0,5046.0,30342.0
26394.0,228198.0,86000.0,11446.0,28459.0
28771.0,254387.0,201000.0,11570.0,32034.0
26853.0,228126.0,132000.0,5659.0,34303.0
33995.0,185283.0,181000.0,1486.0,50794.0
26619.0,165245.0,132000.0,1238.0,33350.0
25640.0,153667.0,99000.0,3726.0,32566.0
29930.0,280524.0,137000.0,2725.0,38233.0
27021.0,257976.0,73000.0,3532.0,30142.0
24883.0,192520.0,79000.0,3762.0,29305.0
27162.0,257994.0,80000.0,3857.0,30873.0
27940.0,255590.0,74000.0,5644.0,31319.0
28610.0,182520.0,84000.0,5876.0,33258.0
31575.0,267553.0,210000.0,2991.0,39075.0
25102.0,182882.0,71000.0,4385.0,28965.0
38975.0,218400.0,203000.0,2158.0,62719.0
23074.0,230731.0,70000.0,3881.0,27449.0
27405.0,287538.0,128000.0,3522.0,32887.0
33474.0,222829.0,605000.0,2203.0,53229.0
30355.0,7597825.0,4615000.0,159471.0,43557.0
33333.0,2989670.0,,32796.0,51556.0
26399.0,4608155.0,,126676.0,31096.0
23729.0,50965186.0,26307000.0,13303728.0,29836.0
23367.0,60827067.0,31185000.0,,29079.0
49955.0,7607.0,350000.0,315.0,86778.0
30200.0,169031.0,52000.0,3780.0,31994.0
27436.0,334837.0,136000.0,8675.0,33007.0
26457.0,224625.0,74000.0,6429.0,30375.0
25763.0,283273.0,111000.0,4323.0,28503.0
25666.0,302625.0,136000.0,15013.0,35021.0
33059.0,211520.0,296000.0,2179.0,40595.0
25965.0,344029.0,152000.0,8650.0,29341.0
27490.0,318671.0,140000.0,5554.0,34374.0
26325.0,291534.0,108000.0,8220.0,28949.0
29319.0,236535.0,82000.0,5044.0,32003.0
28996.0,224480.0,95000.0,1905.0,35390.0
33535.0,176472.0,134000.0,1715.0,46996.0
26281.0,236793.0,81000.0,2960.0,29032.0
26107.0,226355.0,83000.0,5046.0,31063.0
26079.0,229789.0,82000.0,11446.0,29418.0
30290.0,256981.0,202000.0,11570.0,33992.0
27547.0,233454.0,136000.0,5659.0,34303.0
34779.0,188636.0,201000.0,1486.0,53641.0
28355.0,162883.0,128000.0,1238.0,33248.0
27274.0,154485.0,86000.0,3726.0,33513.0
30633.0,284964.0,138000.0,2725.0,41050.0
27673.0,261188.0,75000.0,3532.0,29832.0
26346.0,194260.0,78000.0,3762.0,30731.0
27434.0,266285.0,80000.0,3857.0,32363.0
29429.0,259965.0,79000.0,5644.0,33111.0
30881.0,182421.0,89000.0,5876.0,37366.0
32000.0,272626.0,222000.0,2991.0,39710.0
25182.0,184174.0,71000.0,4385.0,28531.0
41117.0,225251.0,211000.0,2158.0,72749.0
25034.0,235665.0,67000.0,3881.0,27129.0
30513.0,291440.0,130000.0,3522.0,38209.0
35315.0,220619.0,623000.0,2203.0,52597.0
31484.0,7693473.0,4728000.0,159471.0,45027.0
34415.0,3030764.0,,32796.0,53119.0
27478.0,4662709.0,,126676.0,32073.0
24480.0,51381093.0,26606000.0,13303728.0,30802.0
24043.0,61319075.0,31516000.0,,30015.0
50503.0,7429.0,348000.0,315.0,82973.0
29396.0,172452.0,53000.0,3780.0,31795.0
27978.0,339212.0,140000.0,8675.0,34468.0
28326.0,226652.0,73000.0,6429.0,31305.0
27326.0,290901.0,109000.0,4323.0,29631.0
27236.0,304968.0,130000.0,15013.0,33378.0
35314.0,210273.0,307000.0,2179.0,42816.0
27482.0,349308.0,146000.0,8650.0,31842.0
29439.0,324022.0,131000.0,5554.0,35772.0
25550.0,297443.0,111000.0,8220.0,28930.0
30766.0,239748.0,81000.0,5044.0,33637.0
31589.0,231041.0,96000.0,1905.0,39016.0
,177088.0,135000.0,1715.0,46620.0
29859.0,244459.0,78000.0,2960.0,31703.0
27627.0,229567.0,77000.0,5046.0,31746.0
28800.0,231793.0,87000.0,11446.0,32386.0
31291.0,261051.0,206000.0,11570.0,37349.0
29475.0,237907.0,137000.0,5659.0,39109.0
36357.0,192089.0,205000.0,1486.0,58261.0
30217.0,162579.0,131000.0,1238.0,37538.0
26583.0,156027.0,87000.0,3726.0,33180.0
30566.0,289126.0,140000.0,2725.0,41396.0
29403.0,266508.0,77000.0,3532.0,31399.0
28363.0,195859.0,81000.0,3762.0,31929.0
29467.0,276478.0,77000.0,3857.0,34686.0
29283.0,265452.0,83000.0,5644.0,32261.0
32437.0,182927.0,90000.0,5876.0,37760.0
31227.0,276973.0,245000.0,2991.0,40353.0
26082.0,185860.0,80000.0,4385.0,29869.0
41880.0,231893.0,220000.0,2158.0,70217.0
26609.0,242098.0,68000.0,3881.0,28814.0
30808.0,294305.0,129000.0,3522.0,40916.0
36048.0,218673.0,639000.0,2203.0,59836.0
32813.0,7812161.0,4799000.0,159471.0,47116.0
35774.0,3078914.0,,32796.0,55236.0
28608.0,4733247.0,,126676.0,33547.0
25549.0,51815853.0,26611000.0,13303728.0,32358.0
25165.0,61823772.0,31553000.0,,31494.0
52092.0,7472.0,362000.0,315.0,80769.0
30973.0,177580.0,47000.0,3780.0,33126.0
30496.0,345829.0,143000.0,8675.0,35013.0
28222.0,228146.0,73000.0,6429.0,31988.0
27503.0,298118.0,110000.0,4323.0,31033.0
26951.0,306924.0,119000.0,15013.0,33329.0
36375.0,212924.0,309000.0,2179.0,45633.0
28225.0,352763.0,134000.0,8650.0,33826.0
28234.0,329966.0,128000.0,5554.0,34873.0
27828.0,301971.0,107000.0,8220.0,31584.0
29871.0,243672.0,80000.0,5044.0,33344.0
33107.0,236622.0,101000.0,1905.0,46556.0
36525.0,180116.0,132000.0,1715.0,45516.0
28515.0,249805.0,75000.0,2960.0,30817.0
27532.0,233495.0,77000.0,5046.0,31352.0
28317.0,234127.0,80000.0,11446.0,30993.0
31584.0,265665.0,197000.0,11570.0,37424.0
31672.0,243366.0,138000.0,5659.0,42241.0
36981.0,196704.0,206000.0,1486.0,55027.0
29901.0,161893.0,129000.0,1238.0,36101.0
27497.0,157307.0,84000.0,3726.0,33834.0
